,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,description,website,market_cap,net_income_before_eo
1797,MOSY US Equity,"MoSys, Inc.",1.94,$96.57M,2001,Technology,Semiconductors,http://www.nasdaq.com/symbol/mosy,na,na,0,0
1798,MPAA US Equity,"Motorcar Parts of America, Inc.",22.95,$412.24M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/mpaa,na,na,0,0
1799,MDM US Equity,Mountain Province Diamonds Inc.,3.46,$467.81M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/mdm,na,na,0,0
1800,MRVC US Equity,"MRV Communications, Inc.",9.951,$73.26M,1992,Technology,Semiconductors,http://www.nasdaq.com/symbol/mrvc,na,na,0,0
1801,MSBF US Equity,MSB Financial Corp.,10.7199,$53.71M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/msbf,na,na,0,0
1802,MTSC US Equity,MTS Systems Corporation,72.06,$1.08B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mtsc,na,na,0,0
1803,LABL US Equity,Multi-Color Corporation,66.42,$1.1B,1987,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/labl,na,na,0,0
1804,MFLX US Equity,"Multi-Fineline Electronix, Inc.",17.93,$435.76M,2004,Technology,Electrical Products,http://www.nasdaq.com/symbol/mflx,na,na,0,0
1805,MFSF US Equity,MutualFirst Financial Inc.,22.5,$161.98M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mfsf,na,na,0,0
1806,MWIV US Equity,"MWI Veterinary Supply, Inc.",189.9,$2.45B,2005,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/mwiv,na,na,0,0
1807,MYL US Equity,Mylan Inc.,57.87,$21.66B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/myl,na,na,0,0
1808,MYOS US Equity,MYOS Corporation,5.46,$15.89M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/myos,na,na,0,0
1809,MYRG US Equity,"MYR Group, Inc.",26.24,$545.25M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/myrg,na,na,0,0
1810,MYGN US Equity,"Myriad Genetics, Inc.",34.32,$2.44B,1995,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/mygn,na,na,0,0
1811,NANO US Equity,Nanometrics Incorporated,17.39,$420.11M,1984,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/nano,na,na,0,0
1812,NSPH US Equity,"Nanosphere, Inc.",0.2935,$34.43M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/nsph,na,na,0,0
1813,NSTG US Equity,"NanoString Technologies, Inc.",12.28,$223.53M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/nstg,na,na,0,0
