,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,description,website,market_cap,net_income_before_eo
2369,SFBS US Equity,"ServisFirst Bancshares, Inc.",31.06,$770.02M,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/sfbs,na,na,0,0
2370,SEV US Equity,"Sevcon, Inc.",7.39,$26.52M,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/sev,na,na,0,0
2371,SVBI US Equity,Severn Bancorp Inc,4.41,$44.4M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/svbi,na,na,0,0
2372,SFXE US Equity,"SFX Entertainment, Inc.",3.53,$319.7M,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/sfxe,na,na,0,0
2373,SGOC US Equity,"SGOCO Group, Ltd",0.52,$9.06M,2010,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sgoc,na,na,0,0
2374,GAME US Equity,Shanda Games Limited,5.58,$1.5B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/game,na,na,0,0
2375,SMED US Equity,Sharps Compliance Corp,5.05,$78.45M,n/a,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/smed,na,na,0,0
2376,SHEN US Equity,Shenandoah Telecommunications Co,29.71,$716.4M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/shen,na,na,0,0
2377,SHLO US Equity,"Shiloh Industries, Inc.",12.63,$217.49M,1993,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/shlo,na,na,0,0
2378,SHPG US Equity,Shire plc,237.29,$47.35B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/shpg,na,na,0,0
2379,SCVL US Equity,"Shoe Carnival, Inc.",23.69,$480.58M,1993,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/scvl,na,na,0,0
2380,SHBI US Equity,Shore Bancshares Inc,9.35,$117.95M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/shbi,na,na,0,0
2381,SHOR US Equity,"ShoreTel, Inc.",7.56,$485.05M,2007,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/shor,na,na,0,0
2382,SFLY US Equity,"Shutterfly, Inc.",45.77,$1.77B,2006,Miscellaneous,Other Consumer Services,http://www.nasdaq.com/symbol/sfly,na,na,0,0
2383,SIFI US Equity,"SI Financial Group, Inc.",11.49,$146.88M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/sifi,na,na,0,0
2384,SIEB US Equity,Siebert Financial Corp.,1.71,$37.77M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/sieb,na,na,0,0
2385,SIEN US Equity,"Sientra, Inc.",17.56,$261.87M,2014,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/sien,na,na,0,0
2386,BSRR US Equity,Sierra Bancorp,16.53,$227.91M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bsrr,na,na,0,0
2387,SWIR US Equity,"Sierra Wireless, Inc.",37.77,$1.2B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/swir,na,na,0,0
2388,SIFY US Equity,Sify Technologies Limited,1.38,$246.37M,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/sify,na,na,0,0
2389,SIGA US Equity,SIGA Technologies Inc.,2.06,$110.22M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/siga,na,na,0,0
2390,SIGM US Equity,"Sigma Designs, Inc.",6.81,$237.92M,1986,Technology,Semiconductors,http://www.nasdaq.com/symbol/sigm,na,na,0,0
2391,SIAL US Equity,Sigma-Aldrich Corporation,138.75,$16.57B,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/sial,na,na,0,0
2392,SGMA US Equity,"SigmaTron International, Inc.",6.7,$27.16M,1994,Technology,Electrical Products,http://www.nasdaq.com/symbol/sgma,na,na,0,0
2393,SGNL US Equity,"Signal Genetics, Inc.",2.57,$9.72M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/sgnl,na,na,0,0
2394,SBNY US Equity,Signature Bank,125.7,$6.32B,2004,Finance,Major Banks,http://www.nasdaq.com/symbol/sbny,na,na,0,0
2395,SBNYW US Equity,Signature Bank,89.18,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sbnyw,na,na,0,0
2396,SLGN US Equity,Silgan Holdings Inc.,57.04,$3.61B,1997,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/slgn,na,na,0,0
2397,SILC US Equity,Silicom Ltd,47.22,$340.86M,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/silc,na,na,0,0
2398,SGI US Equity,Silicon Graphics International Corp,9.2,$316.69M,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/sgi,na,na,0,0
2399,SIMG US Equity,"Silicon Image, Inc.",7.245,$560.74M,1999,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/simg,na,na,0,0
2400,SLAB US Equity,"Silicon Laboratories, Inc.",49.9,$2.1B,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/slab,na,na,0,0
2401,SIMO US Equity,Silicon Motion Technology Corporation,29.69,$977.03M,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/simo,na,na,0,0
2402,SPIL US Equity,"Siliconware Precision Industries Company, Ltd.",8.74,$5.46B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/spil,na,na,0,0
2403,SSRI US Equity,Silver Standard Resources Inc.,5.405,$436.48M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ssri,na,na,0,0
2404,SAMG US Equity,Silvercrest Asset Management Group Inc.,14.02,$171.44M,2013,Finance,Investment Managers,http://www.nasdaq.com/symbol/samg,na,na,0,0
2405,SFNC US Equity,Simmons First National Corporation,39.79,$717.1M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sfnc,na,na,0,0
2406,SMPL US Equity,Simplicity Bancorp Inc.,17.3,$128.02M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/smpl,na,na,0,0
2407,SLP US Equity,"Simulations Plus, Inc.",6.27,$105.66M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/slp,na,na,0,0
2408,SINA US Equity,Sina Corporation,37.83,$2.5B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/sina,na,na,0,0
2409,SBGI US Equity,"Sinclair Broadcast Group, Inc.",27.9,$2.67B,1995,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/sbgi,na,na,0,0
2410,SMAC US Equity,Sino Mercury Acquisition Corp.,9.92,$52.68M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/smac,na,na,0,0
2411,SMACR US Equity,Sino Mercury Acquisition Corp.,0.29,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/smacr,na,na,0,0
2412,SMACU US Equity,Sino Mercury Acquisition Corp.,10.0405,$42.27M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/smacu,na,na,0,0
2413,SCOK US Equity,"SinoCoking Coal and Coke Chemical Industries, Inc",2.74,$65.65M,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/scok,na,na,0,0
2414,SINO US Equity,"Sino-Global Shipping America, Ltd.",1.5,$9.3M,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/sino,na,na,0,0
2415,SVA US Equity,"Sinovac Biotech, Ltd.",5,$278.49M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sva,na,na,0,0
2416,SIRI US Equity,Sirius XM Holdings Inc.,3.86,$21.54B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/siri,na,na,0,0
2417,SIRO US Equity,"Sirona Dental Systems, Inc.",91.49,$5.3B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/siro,na,na,0,0
2418,SRVA US Equity,"SIRVA, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/srva,na,na,0,0
2419,SZMK US Equity,Sizmek Inc.,7.87,$239.24M,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/szmk,na,na,0,0
2420,SKUL US Equity,"Skullcandy, Inc.",10.17,$286.12M,2011,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/skul,na,na,0,0
2421,SKYS US Equity,"Sky Solar Holdings, Ltd.",11.296,$541.36M,2014,n/a,n/a,http://www.nasdaq.com/symbol/skys,na,na,0,0
2422,MOBI US Equity,Sky-mobi Limited,4.07,$112.38M,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mobi,na,na,0,0
2423,SPU US Equity,"SkyPeople Fruit Juice, Inc.",n/a,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/spu,na,na,0,0
2424,SKBI US Equity,Skystar Bio-Pharmaceutical Company,4.28,$37.22M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/skbi,na,na,0,0
2425,SKYW US Equity,"SkyWest, Inc.",13.95,$713.95M,1986,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/skyw,na,na,0,0
2426,SWKS US Equity,"Skyworks Solutions, Inc.",84.3,$16.09B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/swks,na,na,0,0
2427,ISM US Equity,SLM Corporation,24.01,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ism,na,na,0,0
2428,JSM US Equity,SLM Corporation,22.7,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/jsm,na,na,0,0
2429,OSM US Equity,SLM Corporation,24.49,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/osm,na,na,0,0
2430,SLM US Equity,SLM Corporation,9.36,$3.96B,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/slm,na,na,0,0
2431,SLMAP US Equity,SLM Corporation,49.2525,$162.53M,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/slmap,na,na,0,0
2432,SLMBP US Equity,SLM Corporation,65.3,$261.2M,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/slmbp,na,na,0,0
2433,SMT US Equity,SMART Technologies Inc.,1.24,$151.51M,n/a,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/smt,na,na,0,0
2434,SPRO US Equity,SmartPros Ltd.,1.43,$6.66M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/spro,na,na,0,0
2435,SWHC US Equity,Smith & Wesson Holding Corporation,12.78,$686.34M,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/swhc,na,na,0,0
2436,SMSI US Equity,"Smith Micro Software, Inc.",1.46,$65.78M,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/smsi,na,na,0,0
2437,SMTX US Equity,SMTC Corporation,1.53,$25.12M,2000,Technology,Electrical Products,http://www.nasdaq.com/symbol/smtx,na,na,0,0
2438,SMTP US Equity,"SMTP, Inc.",5.06,$27.56M,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/smtp,na,na,0,0
2439,LNCE US Equity,"Snyder&#39;s-Lance, Inc.",30.77,$2.16B,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/lnce,na,na,0,0
2440,SODA US Equity,SodaStream International Ltd.,18.73,$393.29M,2010,Consumer Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/soda,na,na,0,0
2441,SOHU US Equity,Sohu.com Inc.,53.26,$2.05B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/sohu,na,na,0,0
2442,SLRC US Equity,Solar Capital Ltd.,19.58,$831.47M,2010,n/a,n/a,http://www.nasdaq.com/symbol/slrc,na,na,0,0
2443,SUNS US Equity,Solar Senior Capital Ltd.,15.73,$181.42M,2011,n/a,n/a,http://www.nasdaq.com/symbol/suns,na,na,0,0
2444,SCTY US Equity,SolarCity Corporation,54.44,$5.23B,2012,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/scty,na,na,0,0
2445,SZYM US Equity,"Solazyme, Inc.",2.56,$203.01M,2011,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/szym,na,na,0,0
2446,SONC US Equity,Sonic Corp.,32.88,$1.76B,1991,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/sonc,na,na,0,0
2447,SOFO US Equity,"Sonic Foundry, Inc.",8.19,$35.6M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sofo,na,na,0,0
2448,SONS US Equity,"Sonus Networks, Inc.",16.75,$33.11M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/sons,na,na,0,0
2449,SPHS US Equity,"Sophiris Bio, Inc.",0.47,$7.92M,2013,n/a,n/a,http://www.nasdaq.com/symbol/sphs,na,na,0,0
2450,SORL US Equity,"SORL Auto Parts, Inc.",3.11,$60.04M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/sorl,na,na,0,0
2451,SRNE US Equity,"Sorrento Therapeutics, Inc.",12.37,$357.9M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/srne,na,na,0,0
2452,SOHO US Equity,Sotherly Hotels Inc.,7.44,$78.65M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/soho,na,na,0,0
2453,SOHOL US Equity,Sotherly Hotels LP,26.2535,n/a,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/sohol,na,na,0,0
2454,SOHOM US Equity,Sotherly Hotels LP,25.2,n/a,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/sohom,na,na,0,0
2455,SFBC US Equity,"Sound Financial Bancorp, Inc.",18.9,$47.59M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/sfbc,na,na,0,0
2456,SSB US Equity,South State Corporation,65.05,$1.57B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ssb,na,na,0,0
2457,SOCB US Equity,Southcoast Financial Corporation,7.27,$51.59M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/socb,na,na,0,0
2458,SFST US Equity,"Southern First Bancshares, Inc.",16.8001,$81.24M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sfst,na,na,0,0
2459,SMBC US Equity,"Southern Missouri Bancorp, Inc.",18.58,$137.71M,n/a,Finance,Banks,http://www.nasdaq.com/symbol/smbc,na,na,0,0
2460,SONA US Equity,"Southern National Bancorp of Virginia, Inc.",11.6501,$142.09M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sona,na,na,0,0
2461,SBSI US Equity,"Southside Bancshares, Inc.",29.64,$560.71M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sbsi,na,na,0,0
2462,OKSB US Equity,"Southwest Bancorp, Inc.",16.62,$323.36M,1993,Finance,Major Banks,http://www.nasdaq.com/symbol/oksb,na,na,0,0
2463,SP US Equity,SP Plus Corporation,22.78,$501.62M,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/sp,na,na,0,0
2464,SPAN US Equity,"Span-America Medical Systems, Inc.",18.175,$54.19M,1983,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/span,na,na,0,0
2465,SBSA US Equity,"Spanish Broadcasting System, Inc.",3.27,$21.28M,1999,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/sbsa,na,na,0,0
2466,SGRP US Equity,"SPAR Group, Inc.",1.47,$30.22M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/sgrp,na,na,0,0
2467,SPKE US Equity,"Spark Energy, Inc.",15.2,$209M,2014,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/spke,na,na,0,0
2468,ONCE US Equity,"Spark Therapeutics, Inc.",51.44,$1.21B,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/once,na,na,0,0
2469,SPAR US Equity,"Spartan Motors, Inc.",5.35,$182.34M,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/spar,na,na,0,0
2470,SPTN US Equity,SpartanNash Company,26.21,$982.77M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/sptn,na,na,0,0
2471,SPPI US Equity,"Spectrum Pharmaceuticals, Inc.",7.46,$491.52M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sppi,na,na,0,0
2472,SPDC US Equity,"Speed Commerce, Inc.",0.9871,$65.16M,n/a,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/spdc,na,na,0,0
2473,ANY US Equity,Sphere 3D Corp,4.31,$113.68M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/any,na,na,0,0
2474,SPEX US Equity,Spherix Incorporated,0.93,$26.61M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/spex,na,na,0,0
2475,SAVE US Equity,"Spirit Airlines, Inc.",81.77,$5.95B,2011,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/save,na,na,0,0
2476,SPLK US Equity,Splunk Inc.,68.945,$8.36B,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/splk,na,na,0,0
2477,SPOK US Equity,"Spok Holdings, Inc.",18.93,$410.46M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/spok,na,na,0,0
2478,SPWH US Equity,"Sportsman&#39;s Warehouse Holdings, Inc.",n/a,n/a,2014,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/spwh,na,na,0,0
2479,SFM US Equity,"Sprouts Farmers Market, Inc.",37.48,$5.67B,2013,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/sfm,na,na,0,0
2480,SPSC US Equity,"SPS Commerce, Inc.",67.4,$1.1B,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/spsc,na,na,0,0
2481,SQBK US Equity,"Square 1 Financial, Inc.",24.96,$716.57M,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/sqbk,na,na,0,0
2482,SSNC US Equity,"SS&C Technologies Holdings, Inc.",62.6,$5.24B,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ssnc,na,na,0,0
2483,STAA US Equity,STAAR Surgical Company,6.63,$256.27M,n/a,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/staa,na,na,0,0
2484,STMP US Equity,Stamps.com Inc.,57.52,$915.17M,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/stmp,na,na,0,0
2485,STLY US Equity,"Stanley Furniture Company, Inc.",3.4,$50.25M,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/stly,na,na,0,0
2486,SPLS US Equity,"Staples, Inc.",16.79,$10.75B,1989,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/spls,na,na,0,0
2487,SBLK US Equity,Star Bulk Carriers Corp.,4.5,$712.92M,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/sblk,na,na,0,0
2488,SBLKL US Equity,Star Bulk Carriers Corp.,22.4499,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/sblkl,na,na,0,0
2489,SBUX US Equity,Starbucks Corporation,93.51,$70.11B,1992,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/sbux,na,na,0,0
2490,STRZA US Equity,Starz,31.52,$3.29B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/strza,na,na,0,0
2491,STRZB US Equity,Starz,30.3728,$3.17B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/strzb,na,na,0,0
2492,STFC US Equity,State Auto Financial Corporation,24.23,$992.63M,1991,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/stfc,na,na,0,0
2493,STBZ US Equity,State Bank Financial Corporation.,19.75,$637.36M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/stbz,na,na,0,0
2494,SIBC US Equity,"State Investors Bancorp, Inc.",20.91,$48.26M,2011,Finance,Savings Institutions,http://www.nasdaq.com/symbol/sibc,na,na,0,0
2495,SNC US Equity,"State National Companies, Inc.",9.16,$405.3M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/snc,na,na,0,0
2496,GASS US Equity,"StealthGas, Inc.",6.14,$245.61M,2005,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/gass,na,na,0,0
2497,STLD US Equity,"Steel Dynamics, Inc.",19.47,$4.68B,1996,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/stld,na,na,0,0
2498,SMRT US Equity,"Stein Mart, Inc.",16.2,$728.03M,1992,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/smrt,na,na,0,0
2499,STNR US Equity,Steiner Leisure Limited,47.57,$645.31M,1996,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/stnr,na,na,0,0
2500,STEM US Equity,"StemCells, Inc.",1.09,$74.92M,1992,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/stem,na,na,0,0
2501,STML US Equity,"Stemline Therapeutics, Inc.",14.1,$187.32M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/stml,na,na,0,0
2502,STXS US Equity,"Stereotaxis, Inc.",2.65,$54.22M,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/stxs,na,na,0,0
2503,SRCL US Equity,"Stericycle, Inc.",134.61,$11.43B,1996,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/srcl,na,na,0,0
2504,STRL US Equity,Sterling Construction Company Inc,2.99,$56.22M,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/strl,na,na,0,0
2505,SHOO US Equity,"Steven Madden, Ltd.",34.15,$2.19B,1993,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/shoo,na,na,0,0
2506,SSFN US Equity,Stewardship Financial Corp,5.45,$32.86M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ssfn,na,na,0,0
2507,STCK US Equity,"Stock Building Supply Holdings, Inc.",15.89,$415.94M,2013,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/stck,na,na,0,0
2508,SYBT US Equity,"Stock Yards Bancorp, Inc.",32.61,$479.72M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sybt,na,na,0,0
2509,BANX US Equity,StoneCastle Financial Corp,21.42,$134.9M,2013,n/a,n/a,http://www.nasdaq.com/symbol/banx,na,na,0,0
2510,SGBK US Equity,Stonegate Bank,28.33,$290.23M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sgbk,na,na,0,0
2511,SSYS US Equity,"Stratasys, Ltd.",63.88,$3.25B,1994,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/ssys,na,na,0,0
2512,STRT US Equity,Strattec Security Corporation,64.79,$232.41M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/strt,na,na,0,0
2513,STRS US Equity,"Stratus Properties, Inc.",13.45,$108.12M,n/a,Consumer Services,Homebuilding,http://www.nasdaq.com/symbol/strs,na,na,0,0
2514,STRA US Equity,"Strayer Education, Inc.",61.45,$670.01M,1996,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/stra,na,na,0,0
2515,STRM US Equity,"Streamline Health Solutions, Inc.",4.15,$76.65M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/strm,na,na,0,0
2516,STB US Equity,Student Transportation Inc,5.75,$480.27M,n/a,Transportation,Other Transportation,http://www.nasdaq.com/symbol/stb,na,na,0,0
2517,SCMP US Equity,"Sucampo Pharmaceuticals, Inc.",15.02,$673.24M,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/scmp,na,na,0,0
2518,SUBK US Equity,Suffolk Bancorp,23.14,$269.99M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/subk,na,na,0,0
2519,SUMR US Equity,"Summer Infant, Inc.",2.65,$48.06M,n/a,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/sumr,na,na,0,0
2520,SMMF US Equity,"Summit Financial Group, Inc.",11.42,$85.19M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/smmf,na,na,0,0
2521,SSBI US Equity,Summit State Bank,13.73,$65.61M,2006,n/a,n/a,http://www.nasdaq.com/symbol/ssbi,na,na,0,0
2522,SNBC US Equity,"Sun Bancorp, Inc.",18.66,$346.82M,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/snbc,na,na,0,0
2523,SNHY US Equity,Sun Hydraulics Corporation,40.18,$1.07B,1997,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/snhy,na,na,0,0
2524,SNDE US Equity,Sundance Energy Australia Limited,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/snde,na,na,0,0
2525,SEMI US Equity,SunEdison Semiconductor Limited,21.5,$892.38M,2014,Technology,Semiconductors,http://www.nasdaq.com/symbol/semi,na,na,0,0
2526,SNSS US Equity,"Sunesis Pharmaceuticals, Inc.",2.35,$145.58M,2005,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/snss,na,na,0,0
2527,GOMO US Equity,Sungy Mobile Limited,4.99,$167.08M,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gomo,na,na,0,0
2528,STKL US Equity,"SunOpta, Inc.",11.85,$794.82M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/stkl,na,na,0,0
2529,SPWR US Equity,SunPower Corporation,n/a,n/a,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/spwr,na,na,0,0
2530,SBCP US Equity,"Sunshine Bancorp, Inc.",12.08,$51.12M,2014,Finance,Savings Institutions,http://www.nasdaq.com/symbol/sbcp,na,na,0,0
2531,SSH US Equity,Sunshine Heart Inc,5.25,$88.89M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/ssh,na,na,0,0
2532,SMCI US Equity,"Super Micro Computer, Inc.",39.24,$1.83B,2007,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/smci,na,na,0,0
2533,SPCB US Equity,"SuperCom, Ltd.",8.22,$112.61M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/spcb,na,na,0,0
2534,SCON US Equity,Superconductor Technologies Inc.,2.09,$27.69M,1993,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/scon,na,na,0,0
2535,SGC US Equity,"Superior Uniform Group, Inc.",18.27,$491.39M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/sgc,na,na,0,0
2536,SUPN US Equity,"Supernus Pharmaceuticals, Inc.",8.67,$372.21M,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/supn,na,na,0,0
2537,SPPR US Equity,"Supertel Hospitality, Inc.",1.69,$7.93M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sppr,na,na,0,0
2538,SPPRO US Equity,"Supertel Hospitality, Inc.",15.5001,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sppro,na,na,0,0
